Price,Open,High,Low,Close,Adj Close,Volume
2012-10-01,7702.084955046147,7727.494507013286,7091.157568316856,7166.01708984375,7166.01708984375,35335800
2012-11-01,7141.937090930573,7590.654736365202,7050.017107094174,7580.134765625,7580.134765625,38003200
2012-12-01,7582.615279636349,7757.0544245422825,7491.485812926836,7699.46484375,7699.46484375,45782600
2013-01-01,7738.014187262065,7855.123999777994,7603.2350224829215,7849.98388671875,7849.98388671875,48848600
2013-02-01,7853.7130984435735,8029.062372201492,7831.963200637921,7897.94287109375,7897.94287109375,27794000
2013-03-01,7917.683109637954,8089.172052070782,7786.523568050313,7918.57275390625,7918.57275390625,44598400
2013-04-01,7934.21314285523,8115.552144223294,7688.584401072588,8093.62255859375,8093.62255859375,38215400
2013-05-01,8111.390832118477,8439.10945738883,8095.660927946389,8254.759765625,8254.759765625,53390200
2013-06-01,8177.9320773461595,8250.131447678195,7663.194243432879,8062.17236328125,8062.17236328125,41390800
2013-07-01,8011.913042774184,8265.661866099796,7877.023531559943,8107.90234375,8107.90234375,49209100
2013-08-01,8110.691966430593,8162.871897649493,7737.2938141683,8021.8525390625,8021.8525390625,41074000
2013-09-01,8010.113057757499,8310.902201543804,7993.093116513869,8173.83251953125,8173.83251953125,39580500
2013-10-01,8173.951503416579,8469.539946568142,8172.7513137909855,8450.01953125,8450.01953125,49354900
2013-11-01,8474.42936535383,8476.589511315691,8093.781275924709,8406.7900390625,8406.7900390625,42845200
2013-12-01,8429.201042771465,8647.200029184318,8313.831461995287,8611.4697265625,8611.4697265625,42241100
2014-01-01,8618.558832089178,8668.909179802335,8442.150487048588,8462.5302734375,8462.5302734375,46511800
2014-02-01,8290.131502110538,8647.860313003042,8230.421817891449,8639.5400390625,8639.5400390625,39826500
2014-03-01,8627.111356601552,8849.240234375,8507.97127065996,8849.240234375,8849.240234375,49636400
2014-04-01,8847.299550103493,9022.239183055708,8671.610897125072,8791.400390625,8791.400390625,48580800
2014-05-01,8846.819419136742,9139.528025771328,8803.38895601812,9075.8681640625,9075.8681640625,45539700
2014-06-01,9106.569640008487,9393.0283203125,9070.409645414262,9393.0283203125,9393.0283203125,49515600
2014-07-01,9393.02797223193,9593.636442963736,9313.828133922772,9315.8076171875,9315.8076171875,64922900
2014-08-01,9223.708953542164,9502.377635312738,9014.84953142567,9436.2275390625,9436.2275390625,46387500
2014-09-01,9474.366819311848,9532.616552870286,8860.12939453561,8966.87890625,8966.87890625,37874300
2014-10-01,8958.829174179915,9122.49834806563,8501.251187245474,8974.71875,8974.71875,40957900
2014-11-01,9009.338703169933,9217.688336788542,8828.110039337525,9187.1083984375,9187.1083984375,34399700
2014-12-01,9038.369377049297,9338.017439163457,8825.990452445343,9307.2177734375,9307.2177734375,46405900
2015-01-01,9292.267890313518,9523.687750728905,9043.39986597349,9361.8681640625,9361.8681640625,44435400
2015-02-01,9368.787289525604,9699.495740070033,9352.147717083424,9622.0556640625,9622.0556640625,23281700
2015-03-01,9665.066045618301,9775.58507023444,9472.496615882099,9586.396484375,9586.396484375,45858400
2015-04-01,9575.066550164454,10014.23446305409,9503.486799482938,9820.0048828125,9820.0048828125,47646800
2015-05-01,9853.464137862316,9871.604678860152,9536.115998009649,9701.025390625,9701.025390625,44291000
2015-06-01,9688.08624611677,9692.296188092016,9170.04854037926,9322.9775390625,9322.9775390625,43175800
2015-07-01,9311.716739715115,9404.716309999387,8516.191118662162,8665.2998046875,8665.2998046875,42910000
2015-08-01,8636.49055276751,8636.49055276751,7203.036696243701,8174.88232421875,8174.88232421875,47635800
2015-09-01,8117.462695267971,8488.491263601076,7907.2737198092955,8181.20263671875,8181.20263671875,40057500
2015-10-01,8194.261450676657,8757.0986600142,8170.741541232553,8554.26953125,8554.26953125,40967100
2015-11-01,8571.489026939726,8871.827425444093,8217.300301628726,8320.5703125,8320.5703125,39049800
2015-12-01,8359.229390338029,8535.319365068737,7980.551521244284,8338.01953125,8338.01953125,41102000
2016-01-01,8315.751347107502,8326.291337128994,7627.854645444859,8080.5625,8080.5625,37346200
2016-02-01,8164.201370708283,8432.70009258635,7953.952371546781,8411.1201171875,8411.1201171875,24288500
2016-03-01,8381.353675515831,8840.722356323033,8378.033373397942,8744.802734375,8744.802734375,48451000
2016-04-01,8700.351486555523,8743.321072873641,8352.203208781364,8377.873046875,8377.873046875,29930700
